node_id,name,type,incorporation_date,struck_off_date,closed_date,jurisdiction,jurisdiction_description,countries,country_codes,sourceID,valid_until,note
80070336,GMR Holdings Private Limited,,,,,,,India,IND,Paradise Papers - Appleby,Appleby data is current through 2014,
80135087,Assomull - Vashdev K.,,,,,,,India,IND,Paradise Papers - Appleby,Appleby data is current through 2014,
80140299,Viacom 18 Media Pvt Ltd,,,,,,,India,IND,Paradise Papers - Appleby,Appleby data is current through 2014,
